sas98,cmi,idx,n_samples,n_dims_1,n_dims_2
0.00390625,0.0003251754056168288,62,512,250,6
0.0078125,6.50840116329654e-05,62,512,506,6
0.00390625,0.00012327034057579844,62,512,1018,6
0.01953125,7.99223300366192e-05,63,512,2,6
-0.03515625,5.255486914035323e-05,63,512,10,6
0.0,-7.425580098430196e-05,63,512,26,6
-0.01953125,-7.634129310929438e-05,63,512,58,6
0.0078125,0.00028339164751134405,63,512,122,6
0.0,-0.00026371382435896873,63,512,250,6
-0.01171875,1.476785467113828e-05,63,512,506,6
-0.00390625,-6.453906205106108e-05,63,512,1018,6
0.00390625,0.0016875303700992772,64,512,2,6
0.0390625,7.946317136675596e-05,64,512,10,6
0.015625,-0.0006168842993297119,64,512,26,6
-0.015625,-0.0001838881902143097,64,512,58,6
-0.02734375,-0.00035232049960387535,64,512,122,6
0.0078125,0.00023802814497664304,64,512,250,6
0.0078125,0.00013987152361694122,64,512,506,6
-0.015625,-5.258668379970466e-05,64,512,1018,6
-0.01171875,-0.002660997474021043,65,512,2,6
-0.046875,-6.15581817184907e-05,65,512,10,6
0.0078125,0.0007743153433383831,65,512,26,6
0.04296875,0.00031798694671025807,65,512,58,6
0.01171875,5.842982509562944e-05,65,512,122,6
-0.01171875,4.958801125543033e-05,65,512,250,6
-0.0078125,-6.391298325292283e-05,65,512,506,6
0.0,8.010833629656933e-05,65,512,1018,6
0.0,0.0011885652472758412,66,512,2,6
0.05078125,-0.00043128428019389986,66,512,10,6
0.00390625,-7.643926331546425e-05,66,512,26,6
0.0,9.959803080339391e-05,66,512,58,6
0.015625,0.00016866032268358921,66,512,122,6
-0.0078125,-0.000619087327145329,66,512,250,6
0.0078125,0.00010220986336784144,66,512,506,6
0.0,-7.601393391076794e-05,66,512,1018,6
0.015625,0.00015577398387278674,67,512,2,6
-0.01953125,0.00098851519246268,67,512,10,6
-0.00390625,0.00035146188630708064,67,512,26,6
-0.01171875,-0.0007647402054047348,67,512,58,6
-0.015625,-0.0003584342712320554,67,512,122,6
0.01171875,0.0005279647243133789,67,512,250,6
-0.00390625,9.628037494824326e-06,67,512,506,6
0.015625,-7.498077631973299e-05,67,512,1018,6
-0.0234375,-6.231491242003617e-05,68,512,2,6
-0.01171875,-0.0006814904152301349,68,512,10,6
-0.01953125,-0.00034038009826964366,68,512,26,6
0.0078125,0.0005334883669712021,68,512,58,6
0.00390625,-8.936155598082696e-05,68,512,122,6
-0.0390625,0.00011755179704175944,68,512,250,6
-0.0078125,-0.0001797652324052601,68,512,506,6
